Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
BILAN D’OUVERTURE,,01,,1,,Asset,MAD
CLOTURE DU BILAN,,02,,1,,Asset,MAD
COMPTES D'ORDRE,,03,,1,,Asset,MAD
ENGAGEMENTS DONNES,,04,,1,,Asset,MAD
ENGAGEMENT REÇUS,,05,,1,,Asset,MAD
ENGAGEMENT SUR OPERATIONS DE CREDIT -BAIL,,06,,1,,Asset,MAD
AUTRES COMPTES SPECIAUX,,08,,1,,Asset,MAD
CAPITAUX PROPRES,,11,,1,,Equity,MAD
Réouverture des comptes des immobilisations financières,,124_25,,1,,Liability,MAD
CAPITAUX PROPRES ASSIMILES,,13,,1,,Equity,MAD
DETTES DE FINANCEMENT,,14,,1,,Liability,MAD
Provisions durables pour risques et charges,,15,,1,,Liability,MAD
COMPTES DE LIAISON DES ETABLISSEMENTS ET SUCCURSALES,,16,,1,,Equity,MAD
Ecarts de conversion - Passif,,17,,1,,Equity,MAD
IMMOBILISATIONS EN NON-VALEURS,,21,,1,,Asset,MAD
IMMOBILISATIONS INCORPORELLES,,22,,1,,Asset,MAD
Clôture des comptes des immobilisations Financières,IMMOBILISATIONS INCORPORELLES,224_25,22,1,,Asset,MAD
IMMOBILISATIONS CORPORELLES,,23,,1,,Asset,MAD
IMMOBILSATIONS FINANCIERES,,24_25,,1,,Asset,MAD
ECARTS DE CONVERSION - ACTIF,,27,,1,,Asset,MAD
AMORTISSEMENTS DES IMMOBILISATIONS,,28,,1,,Asset,MAD
PROVISIONS POUR DEPRECIATION DES IMMOBILISATIONS,,29,,1,,Asset,MAD
STOCKS,,31,,1,,Asset,MAD
CREANCES DE L'ACTIF CIRCULANT,,34,,1,,Asset,MAD
TITRES ET VALEURS DE PLACEMENT,,35,,1,,Asset,MAD
ECART DE CONVERSION - ACTIF (Eléments circulants),,37,,1,,Asset,MAD
PROVISIONS POUR DEPRECIATION DES COMPTES DE L'ACTIF CIRCULANT,,39,,1,,Asset,MAD
DETTES DU PASSIF CIRCULANT,,44,,1,,Liability,MAD
AUTRES PROVISIONS POUR RISQUES ET CHARGES,,45,,1,,Liability,MAD
ECARTS DE CONVERSION - PASSIF (Eléments circulants),,47,,1,,Liability,MAD
TRESORERIE - ACTIF,,51,,1,,Asset,MAD
TRESORERIE - PASSIF,,55,,1,,Liability,MAD
PROVISIONS POUR DEPRECIATION DES COMPTES DE TRESORERIE,,59,,1,,Liability,MAD
CHARGES D'EXPLOITATION,,61,,1,,Expense,MAD
CHARGES FINANCIERES,,63,,1,,Expense,MAD
CHARGES NON COURANTES,,65,,1,,Expense,MAD
IMPOTS SUR LES RESULTATS,,67,,1,,Expense,MAD
PRODUITS D’EXPLOITATION,,71,,1,,Income,MAD
PRODUITS FINANCIERS,,73,,1,,Income,MAD
PRODUITS NON COURANTS,,75,,1,,Income,MAD
RESULTAT D'EXPLOITATION,,81,,1,,Equity,MAD
RESULTAT FINANCIER,,83,,1,,Equity,MAD
RESULTAT COURANT,,84,,1,,Equity,MAD
RESULTAT NON COURANT,,85,,1,,Equity,MAD
RESULTAT AVANT IMPOTS,,86,,1,,Equity,MAD
